NOM, ACC, DAT, ILL, INE, etc. - nominal cases
pl - plural
P1sg, P2sg, P1pl, etc. - possessive with 1st person singular possessor, 2nd person singular possessor, 1st person plural possessor, etc.
NPoss - nominal possessive marking (é)
NPoss+ - plural of nominal possessive marking (éi)

NOM	kutya
P1pl, pl, NPoss+, ELA	kutyáinkéiból
P1pl, pl, NPoss+, ALL	kutyáinkéihoz
P1pl, pl, NPoss+, ADE	kutyáinkéinál
P1pl, pl, NPoss+, ABL	kutyáinkéitól
P1pl, pl, NPoss+, SUB	kutyáinkéira
P1pl, pl, NPoss+, SUP	kutyáinkéin
P1pl, pl, NPoss+, DEL	kutyáinkéiról
P1pl, pl, NPoss+, INS	kutyáinkéival
P1pl, pl, NPoss+, FAC	kutyáinkéivá
P1pl, pl, NPoss+, FOR	kutyáinkéiként
P1pl, pl, NPoss+, CAU	kutyáinkéiért
P1pl, pl, NPoss+, TER	kutyáinkéiig

P2pl, NPoss+, NOM	kutyátokéi
P2pl, NPoss+, ACC	kutyátokéit
P2pl, NPoss+, DAT	kutyátokéinak
P2pl, NPoss+, ILL	kutyátokéiba
P2pl, NPoss+, INE	kutyátokéiban
P2pl, NPoss+, ELA	kutyátokéiból
P2pl, NPoss+, ALL	kutyátokéihoz
P2pl, NPoss+, ADE	kutyátokéinál
P2pl, NPoss+, ABL	kutyátokéitól
P2pl, NPoss+, SUB	kutyátokéira
P2pl, NPoss+, SUP	kutyátokéin
P2pl, NPoss+, DEL	kutyátokéiról
P2pl, NPoss+, INS	kutyátokéival
P2pl, NPoss+, FAC	kutyátokéivá
P2pl, NPoss+, FOR	kutyátokéiként
P2pl, NPoss+, TEM	kutyátokéikor
P2pl, NPoss+, CAU	kutyátokéiért
P2pl, NPoss+, TER	kutyátokéiig
P2pl, NPoss+, ESS	kutyátokéiul
P2pl, pl, NPoss+, NOM	kutyáitokéi
P2pl, pl, NPoss+, ACC	kutyáitokéit
P2pl, pl, NPoss+, DAT	kutyáitokéinak
P2pl, pl, NPoss+, ILL	kutyáitokéiba
P2pl, pl, NPoss+, INE	kutyáitokéiban
P2pl, pl, NPoss+, ELA	kutyáitokéiból
P2pl, pl, NPoss+, ALL	kutyáitokéihoz
P2pl, pl, NPoss+, ADE	kutyáitokéinál
P2pl, pl, NPoss+, ABL	kutyáitokéitól
P2pl, pl, NPoss+, SUB	kutyáitokéira
P2pl, pl, NPoss+, SUP	kutyáitokéin
P2pl, pl, NPoss+, DEL	kutyáitokéiról
P2pl, pl, NPoss+, INS	kutyáitokéival
P2pl, pl, NPoss+, FAC	kutyáitokéivá
P2pl, pl, NPoss+, FOR	kutyáitokéiként
P2pl, pl, NPoss+, CAU	kutyáitokéiért
P2pl, pl, NPoss+, TER	kutyáitokéiig

P3pl, NPoss+, NOM	kutyájukéi
P3pl, NPoss+, ACC	kutyájukéit
P3pl, NPoss+, DAT	kutyájukéinak
P3pl, NPoss+, ILL	kutyájukéiba
P3pl, NPoss+, INE	kutyájukéiban
P3pl, NPoss+, ELA	kutyájukéiból
P3pl, NPoss+, ALL	kutyájukéihoz
P3pl, NPoss+, ADE	kutyájukéinál
P3pl, NPoss+, ABL	kutyájukéitól
P3pl, NPoss+, SUB	kutyájukéira
P3pl, NPoss+, SUP	kutyájukéin
P3pl, NPoss+, DEL	kutyájukéiról
P3pl, NPoss+, INS	kutyájukéival
P3pl, NPoss+, FAC	kutyájukéivá
P3pl, NPoss+, FOR	kutyájukéiként
P3pl, NPoss+, TEM	kutyájukéikor
P3pl, NPoss+, CAU	kutyájukéiért
P3pl, NPoss+, TER	kutyájukéiig
P3pl, NPoss+, ESS	kutyájukéiul
P3pl, pl, NPoss+, NOM	kutyáikéi
P3pl, pl, NPoss+, ACC	kutyáikéit
P3pl, pl, NPoss+, DAT	kutyáikéinak
P3pl, pl, NPoss+, ILL	kutyáikéiba
P3pl, pl, NPoss+, INE	kutyáikéiban
P3pl, pl, NPoss+, ELA	kutyáikéiból
P3pl, pl, NPoss+, ALL	kutyáikéihoz
P3pl, pl, NPoss+, ADE	kutyáikéinál
P3pl, pl, NPoss+, ABL	kutyáikéitól
P3pl, pl, NPoss+, SUB	kutyáikéira
P3pl, pl, NPoss+, SUP	kutyáikéin
P3pl, pl, NPoss+, DEL	kutyáikéiról
P3pl, pl, NPoss+, INS	kutyáikéival
P3pl, pl, NPoss+, FAC	kutyáikéivá
P3pl, pl, NPoss+, FOR	kutyáikéiként
P3pl, pl, NPoss+, CAU	kutyáikéiért
P3pl, pl, NPoss+, TER	kutyáikéiig
